Tweet ID,Entity,Sentiment,Tweet Content
23322,Netflix,Positive,If you can think of a song to draw pirates by why not put it on here for me!  http://bit.ly/o33Fs 
1326,Microsoft,Negative,"OMG I MISS MEG SO MUCH  AND TWINKLE TOO. DARN IT, COME HOME FROM CHINA NOWWW. "
82974,Apple,Negative,ok now im bored 
19544,onebrightpearl,Neutral,"@onebrightpearl cool  it is alpha, so be careful  astounding potential though, this #operaunite"
32483,inournuclearage,Irrelevant,@inournuclearage 
81934,Gemdread,Negative,@Gemdread I didn't go   mom went to the hospital so I came home.
56976,Google,Negative,"Photo: jake and heath, rip  http://tumblr.com/xcm1xapsy"
21373,DIBSDaily,Neutral,@DIBSDaily Thanks! 
32796,theARNSKI,Neutral,Just made dinner for @theARNSKI ... my yummy spaghetti with garlic bread! 
94032,vyom,Positive,@vyom Heh! For a minute I was wondering if you were in Germany! 
69020,CS-GO,Irrelevant,My dog had another seizure. 
95956,Velf79,Positive,@Velf79 I hope so ^^ Eclipse is up and running again btw!  http://tinyurl.com/d792yd
86837,everyone,Neutral,@everyone   have a nice day 
90593,bradiewebbstack,Neutral,@bradiewebbstack i love you bradie and yaaaah 
78434,Shelny,Positive,@Shelny Thanks. I don't really try... Twitter is just a way to absorb some free time. I appreciate it anyways though. 
97570,rainer3,Neutral,@rainer3 on my desk!   http://twitpic.com/6ham8
19411,MaddenNFL,Neutral,Asking Outlook &amp; iTunes to PLEASE be my friend.... plz stop giving me grief!  Especially while I am looking at houses... Blah! Play nice!!
11936,MaddenNFL,Neutral,Omg guys i forgot! Panoramic on monday! Did you want to do something? Or wear our homecoming stuff! Txt in morning please 
30855,MaddenNFL,Irrelevant,Good grief... is that the time?? But I've only finished one section of my case study!!  'tis the biggest section tho...
80975,CS-GO,Irrelevant,"i have woken up tired, whats the deal with that? how can i wake up and still be tired "
77604,demiswissfan,Negative,@demiswissfan her birthday was on wednessday and her party was yesterday and today. its to long a story to explain lol 
84567,FIFA,Neutral,Trying to play...Alone I Break by KoRn ...feels good when I get it rite 
97908,Apple,Positive,aches after working out....off to my brothers for Raph to swim in the doggie swimming pool he got 
97576,Facebook,Irrelevant,My cat just bit my nose 
85158,So_Chi8,Neutral,@So_Chi8 heyyy christian 
99538,MaddenNFL,Positive,i'm going to sleep listening to michael bublÃ¯Â¿Â½ 
88468,Microsoft,Negative,"I am sitting on the sofa making this new account, and talking to shannen, and having sore teeth "
74764,CS-GO,Negative,Grumpy-ish. Listening to cut copy. It feels like it's going to be a long day. Fml I want my friends 
45874,Amazon,Irrelevant,Found out last night my grandfather has cancer...  I don't know what else to say.. I'm worried.
57259,mileycyrus,Irrelevant,@mileycyrus MILEY YOU'RE NOT COMING TO PHILLY/ATLANTIC CITY?!?!?!!? NOOOOOOOO Newark is too far for us south jersey-ans. i'm soo upset 
60826,FIFA,Positive,Bowling again 
32086,Facebook,Positive,Didn't know that smartway buses had Internet connectivity. Cool 
57644,MrRathbone,Negative,"@MrRathbone you can wear morgning slipper, or take a hot baths or a shower, then you my can get worm. have you so could in your house? "
17639,musik_freak,Positive,@musik_freak gooood morning 
46462,illuminadora,Neutral,@illuminadora for sure try #stateoforigin - easy 
93717,Apple,Irrelevant,"Wow, Terminator Salvation sold more copies than Bionic Commando. This is a very sad day. "
39683,Amazon,Positive,should be interesting weather today and tomorrow.  i'm gonna need a weather sealed camera or something. donations gladly accepted! 
4963,Twitter,Negative,"i just can't believe joe saids that  i know i know, it was obvious. But It hurts more it to listen to his own mouth."
96908,Netflix,Negative,I need some bonjela 
52749,tokyto,Neutral,"@tokyto 20 many hits, a ex super hits. irei com o gatenho "
75562,upscale,Neutral,"@upscale I meant when you get back into the states, I know how traveling outside the US can be. "
24530,MaddenNFL,Neutral,is going to check out the tulips 
94242,Apple,Irrelevant,Why is the ground moving in circles 
61826,Samjane,Negative,"@Samjane Im trying but they arent making it easy, they just make it easier to hate them; and I do.  I really do...  "
95550,Amazon,Negative,I just ate a Screwball and there was no chewing gum in the bottom  I cried a little inside.
54410,MaddenNFL,Negative,is going to the dog track today  in BAMA country 
86738,FIFA,Negative,im having high fever 
3094,Ellen_Stafford,Irrelevant,@Ellen_Stafford sorry you got soaked! Dreadful weather 
14330,Facebook,Positive,have very pretty plum eye look today.  makeup makes me happies. 
16038,CS-GO,Negative,wishes she could watch conan. got finals  i'm a celeb sux btw
7182,Microsoft,Neutral,goin 2 movies.wit my bestie 
36499,Amazon,Negative,&quot;pasilaiciai&quot; -  5th place 
93068,EmilyOsment,Neutral,@EmilyOsment that sound just like my friend logan and i. its great to have someone like that 
71410,Twitter,Neutral,xiao dar just twitted! 
37891,Facebook,Irrelevant,Livin in florida! enjoyin tha heat probably gettin a job at hardees  but a jobs a job. im lovin it
90926,joolzgirl,Positive,@joolzgirl sounds like fun  where did you go?
76703,Microsoft,Positive,About to leave to see Kelly Clarkson at a private concert 
93638,Facebook,Negative,I really wanna see Demi on tour now... 
50417,Amazon,Neutral,2 the gym now i go...mall rat after...then home 4 a few chores...enjoy the weekend guys and good afternoon Manila...love ya' tweeps 
72309,mandyconforth,Neutral,"@mandyconforth I used to add a lot of cream to risotto, but I strip it back.  Still use butter &amp; wine tho "
31993,nugget124,Irrelevant,@nugget124 wish i was there...oh man do i wish i was there..... 
36084,trainwreckradio,Positive,@trainwreckradio  check yours
97478,Twitter,Positive,It's cold! But I'm fine 
22431,thatboysamp,Neutral,"@thatboysamp he grad in may and after that, he comin wit me lol...u'll meet him soon... "
95738,MaddenNFL,Negative,"back from kfc, got my work clothes and everything!, only working 12 hrs per week though "
53514,MaddenNFL,Neutral,"Oh, I almost forgot -- Last night we watched Angels &amp; Demons, twas good &amp; I like the way Tom Hanks translates symbols and all. Good Movie "
81673,mantia,Negative,@mantia I want to play RampChamp 
77139,BillHurlbut,Neutral,@BillHurlbut You're welcome 
46486,hippiekat,Neutral,@hippiekat i would but... I don't feel like getting up. these are the times i feel like being a little kid in a diaper.  lmfao!
33781,FIFA,Positive,"Yay, My son Connor Got 4 Merits for his BETC Sport,  = 4 &quot;B&quot; grades  in GCSE"
76334,Google,Irrelevant,"Couldn't be bothered walking ALL the way down The Terrace (like 500m max lol) so got coffee from Gasoline. Not bad, but v expensive "
95572,Google,Negative,Hungover tae fuck 
18658,jonburgerman,Irrelevant,why does my @jonburgerman toy keep falling over  stupid toy 
8881,mrgenius23,Negative,@mrgenius23  I give a fck!
88889,Twitter,Irrelevant,First drink from Starbucks since October 2008. I hate to break the fairtrade coffee boycott but I was forced  http://mypict.me/2N6y
97222,Taybre,Positive,#iremember when I 1st seen @Taybre @ the parade...I almost died! 
60774,MaddenNFL,Negative,"need to be sleep have weights, wrk, and wrk again "
37050,Amazon,Irrelevant,I really wanna go home. I can feel the random bits of hair down my back. I want a shower 
89603,Skistar15,Neutral,@Skistar15  pffft no dont need a man in the other seat ... that can stay empty.. just need sum1 2 buy it 4 me 
30194,chris_aberle,Negative,@chris_aberle Yesssss! Hella before my birthday  But i plan on celebrating it somewhere in SL since its in the middle?
84357,dannysullivan,Negative,@dannysullivan aww...  is it one of those special keys that cost $200+
92796,CS-GO,Positive,Thank u my Lil tweetie pies!! Kian is drawing like a lil architect... He's so funny.. Very good though.. Always the buisness man!!  xxx
67586,Blynn12,Irrelevant,I'm tired &amp; wish I went on more rides  I want @Blynn12's iPhone.
30583,phies,Neutral,"thank you @phies, @bayjub, @atchoo, @sindimeriana, @nandiaaa, @Runii, @parakeetums, @ohhvi "
17653,Facebook,Irrelevant,http://bit.ly/eiL4d  OH MY GOSH POOR PEREZ!!!!!!!!!!!!!!!! 
74098,Amazon,Neutral,Sitting on my bed and watching television while eating some nice ice cream  ...check out my myspace! http://www.myspace.com/MissVanessaO
45901,Imarius,Negative,@Imarius Ooo! Yay! I'm still sad that I have no DS9. 
63304,aaroncarter7,Irrelevant,@aaroncarter7 you forgot massachusetts  you dont love me do you???? Lol
72323,Microsoft,Neutral,New moon trailer is out 
26402,Microsoft,Negative,Fuck me work sucks today.. i feel like crap and its hella busy.. i hate stupid people 
72792,vanessatx,Irrelevant,"@vanessatx Ughhh not yet  I am leaning more towards Fordham though. I getz my own apartment, woot woot!!"
55621,Netflix,Neutral,goodniiiight 
42432,LaurenDayMakeup,Neutral,@LaurenDayMakeup we will make it happen diddy will have 1million followers! We are also trying to get @dawnrichard to 90k by monday 
55704,ChefVanda,Negative,@ChefVanda I would like to tweet you but I feel unworthy since I cook with a fire extinguisher near by and I actually use it weekly. 
79049,Apple,Negative,When is iPhone sdk on windows? Don't have the money to buy a mac right now  #fb
83555,Amazon,Irrelevant,Ps I'm still looking out for a stupid man app for my touch 
46813,Facebook,Irrelevant,Just seen the fail whale. For the first time in ages. 
74034,MaddenNFL,Neutral,Got up way to late today ... now catching up on the news 
92646,www,Positive,Goodmoring tweetie pies  We are going to have an AMAZING day! Boat Cruise For Women In NYC 7pm-11pm*OPEN BAR*Tix@www.spicenewyorkcity.com
53067,CS-GO,Irrelevant,"Think that racism only happens in your country? Well, think again: http://twurl.nl/j5wl5t I know Juan Pablo personally, a very nice guy. "
86161,Facebook,Positive,is thinking there's only 11 and a half weeks til we meet our little man 
62191,Apple,Positive,Good Morning people!!!!  ThAnks all for the follow as soon as I can I will follow too 
5474,Netflix,Positive,Q3: Stay really looking forward to hearing that track and really i want songs like revenge   #MCRchat
1775,FIFA,Irrelevant,Someone busted out the window in our cadillac and stole our gps. We have no insurance. 
67133,cyril_y,Neutral,"anyone here remembers Mike Dixon? this is the original, not the new mix  (via @cyril_y)"
28970,BLACKMARS,Neutral,@BLACKMARS goodnight Carlita  sleep well! kiss ~p
22174,Google,Negative,just realized! neeeeeed new shoes. i am skidding across the courts. 
71876,Twitter,Negative,I think I have new teeth coming in  it hurrrrttsss
32976,Netflix,Neutral,OOOOoooooo..... a New Link for the show.    Check it out!... (can you pick me out of the crowd??  
15411,fejling,Positive,@fejling I know Thursday wasn't an option! I said Tuesday you muppet! Re-read the tweet! 
92049,KhloeKardashian,Neutral,@KhloeKardashian camping it's more of an adventure 
58578,MaddenNFL,Positive,Summer is going to be beast!  Can't wait!!
78562,henriok,Positive,@henriok not really  Just have to install OS X on a harddrive and get it to boot on schools iMacs.
22237,e_walk,Irrelevant,@e_walk I didn't have time  usually my amoeba trips are at least 2 hours...u know the deal!
6032,Facebook,Irrelevant,Sitting by the beach at northwestern checking my email! No phone calls about jobs yet.... 
89916,Amazon,Irrelevant,On the way to home. Today not really good day 
69822,Apple,Positive,haha... that was funneh   http://tr.im/oxz7
99106,Microsoft,Negative,"people: stevie, kathel?,nessa,zoe.ME,bronte rose?,ummmmm idk "
86774,Facebook,Positive,today no party for me...WTF!!!wanted to join the party at stereo bielefeld... but 2morrow iÃ¯Â¿Â½m gonna b da party queen 
53375,FIFA,Positive,But I'm not complaining at all 
59666,KayKay18,Positive,@KayKay18 thank you! 
98426,FIFA,Neutral,in the bx waiting for my boo. anyone else love the airborne toxic event as much as i do? 
97554,Google,Negative,My celebrity boyfriend got put on the disabled list for a mental condition. Gosh sure do have a broken picker 
16686,Amazon,Irrelevant,Wow!! I love delhites!! They have sent the maximum no of profiles.. Mumbai and Lucknow follow suit!! Thank you all!! M busy shortlisting 
8977,14eleven,Positive,@14eleven It feels kinda good that I'm playing the same venue in Phoenix that Mika Miko is 
97204,GentleSinner,Positive,@GentleSinner Daisy is somewhere. FEEFEE is HERE! 
38873,Facebook,Irrelevant,doesn't think she's going to cheer up for a long time 
20772,Microsoft,Neutral,"parrtyy'd hardy last night  , more partying today! ; i miss stephanie Borrego !"
84994,Apple,Positive,Just Watching Some Tele Getting Excited About Judgement Day 
16143,Netflix,Neutral,"After such a cool scene, Rogue gets white hair "
35535,Giilliiaann,Irrelevant,"@Giilliiaann yeeah, we had to do it in school, i have an essay to hand in for thursday about it "
94106,DJ_MAN,Negative,@DJ_MAN @djpsar  GUYS BLOW OFF THE ROOF TONITE !!! MP 5 YRS !!! BIG UP ONCE AGAIN TO THE WHOLE CREW !!! VERY SORRY I CAN'T MAKE IT TONITE 
55641,Google,Negative,POL200 has killed me a little inside 
7608,shreeni,Positive,@shreeni : Everything 
25685,developit,Positive,@developit Winter approaches 
34340,Apple,Negative,FML my mac mouse isn't doing the thing where you squeeze the sides and the windows all come up. it's really annoying! gotta go manual  hah
62836,tommcfly,Positive,"@tommcfly do you like spongebob? &amp; only like 17 days until mcfly edinburgh, then the next day glasgow then the next day newcastle, yaldy "
13143,Facebook,Negative,Dabbling with WOTLK.. Oh Noes! 
33683,revmem,Positive,"@revmem Oh, me neither. I'm sure it would've been even that much better if I were a graphic designer or a typographer or something. "
7800,Tracy_1303,Negative,@Tracy_1303 cuz all us kyte girls have one and i think miss tracy is the only one who hasnt!  lol...anyways hows u? any plans 4 2day?xxx
78274,kidnapdavey,Irrelevant,@kidnapdavey youre missing the frantic 
67214,HoodenersHorse,Negative,@HoodenersHorse would love to pop down for lunch but not gonna happen today  do you do this every week?
45871,Donealready,Positive,@Donealready yay!! Was going to suggest a high fibre cereal with skimmed milk. 
49751,Facebook,Irrelevant,has Wine flu...aka a hangover 
62901,CS-GO,Neutral,Reinstalled my MB Pro and installed CS4 upgrade in anticipation of my new Mac Pro that's scheduled to arrive tomorrow 
48766,Netflix,Irrelevant,Calling it a night....summer school in the morning 
68359,erica920,Neutral,@erica920 i had a great time at breakfast 
98928,Google,Neutral,"casting call backs--saw some great people.Hopefully, another star is in "
44911,Venomireland,Negative,"@Venomireland Give it half an hour man, enjoy it while you have it "
90078,Shontelle_Layne,Neutral,"@Shontelle_Layne hi shontelle! can you say hi to my little cousin Katherine, she loves tshirt!  xx"
49640,create4you,Neutral,@create4you hey long time no tweet...how have U been?...We were @ Chuckie Cheese's today from 10:15am-2:30pm-Samantha's 6th Birthday 
4519,Google,Irrelevant,Looks like the new Astra might have developed a dodgy CV joint in the last 100kms.  Taking it to the dealer to have it checked 
71622,ticktock6,Positive,@ticktock6 Do you remember where you found NBA Rookies online? I need to explain my JR fascination to someone. 
85655,michy79,Neutral,@michy79 Hey girl!!! I loved meeting you guys too  Great seeing you on here too.
98413,MaddenNFL,Negative,Sooo I didn't workout this mornin 
47264,TheRealLFO,Neutral,@TheRealLFO ooooh sookie lol here we go 
15064,Twitter,Irrelevant,Just got to church im sitting by myself 
69442,Amazon,Irrelevant,laughing at voice control fail on my new iPhone. and VoiceOver is sooo slow 
60047,hardrockchick,Positive,@hardrockchick totally understandable. thanks for the few pictures you were able to post 
18665,Apple,Irrelevant,Protip: There's a difference between chocolate milk and chocolate drink. And an unpleasant one at that. 
8461,Netflix,Positive,"is leaving in a bit. no internet for a week is gunna drive me crazy, but whatevz. cottage time! ttyl "
50849,Apple,Irrelevant,Gorgeous is gorgeous no more 
92425,josgovaart,Irrelevant,"@josgovaart  @jodykoehler Mine is worth just about enough to buy 2 movie tickets with popcorn  Twitter, make me rich!"
21386,FIFA,Neutral,home sweet home  sleeping until monday I hope.
38618,AmyNicolee,Neutral,@AmyNicolee Really? How do you know? I saw the left-handed store for the 1st time in SF recenty 
51291,Apple,Negative,I had a horrible dream....  
83160,syuazimi,Irrelevant,@syuazimi not that I know of 
59968,Amazon,Positive,Needs starbucks 
97258,brigwyn,Negative,@brigwyn work mostly 
64569,woahletsgo,Positive,@woahletsgo I'm going out tonight to have fun and forget  But NOT until we are reunited for a least a teensy bit today!
35319,muntbag,Negative,@muntbag me too btw 
15763,kyrocks,Irrelevant,@kyrocks  no we will have to hook up soon!
53358,Microsoft,Negative,why wont the fanfic place send me the password :S:S:S 
93174,Kbabycakes,Positive,Yay!!!!! Even better! To save up  haha@Kbabycakes as long as ur getting my ticket I'm stoked! Thnx btw 
42346,madmanwoo,Positive,"@madmanwoo Nope, we cover VB, VBA and ASP in this course. No C# for me for probably a while  I'm out to re-learn Python next."
68552,FIFA,Positive,will talk later 
56074,MaddenNFL,Irrelevant,"...*arrrrgh* What a bad weather for a wedding  rain, rain, rain..........................."
91064,henryofchang,Irrelevant,@henryofchang lucky at least you're doneeeeeee  have fun in SD
78002,Twitter,Negative,Wish people would realise how much they hurt me 
44429,Google,Positive,chilling out - aching from cheer like mad!!! Must have worked hard 
81202,BetsyYoung,Negative,@BetsyYoung Looks like it might be 2 far  But we'll be touring up there fairly soon and may need to ask u for some party connections
90620,Amazon,Negative,cut the last five minutes of my moviee on sky plus  WHAT HAPPENS IN THE GOD DAMN END?
35160,DavidalBarron,Negative,@DavidalBarron i hate breaking hearts 
69660,Facebook,Neutral,To bed i go!  At LAST! i am in good mood STILL!
49753,Apple,Positive,Good morning twitterbugs!  it's friday! 
66080,CS-GO,Irrelevant,Tried to get a new outfit today and failed miserably 
16469,celebbabe,Positive,@celebbabe yeah the tan yeezy's are nice. Although i am still waiting for the All black or the blue/red colourway. *crossesfingers* aha 
73432,CS-GO,Negative,Great Night  360 is still broken   but oh well   for now
20600,repressd,Irrelevant,Why is everyone turning green?  @repressd @alexcouey @scott_nicholson @matthewpetro @dorritos @karleemay
74803,FIFA,Neutral,Byee and Peace 
79199,JaneBodehouse,Irrelevant,@JaneBodehouse Hey there! Nope. My cuteness @HoytFortenberry is away for awhile 
8833,Facebook,Irrelevant,Ugh I wish I wasn't at work so I could get some moes right now 
64618,Amazon,Positive,yayyy liat wayang sama abang ajib 
29662,Google,Positive,is up tweakin it lyk always hookuh! 
11609,CullenBoysAnon,Negative,"@CullenBoysAnon- if I didn't have little ones at home and a bday party to plan, I'd spearhead that video. Srsly. I'm so sad for him. "
35427,eve76,Positive,@eve76 you are more than welcome my sweet &lt;3 and wooooooo at the toro post!!!!!!! iam practically bouncing in the chair rn 
63508,Apple,Positive,so glad i saw my baby today. 
37634,getatmebench,Irrelevant,@getatmebench lol he does.. 
39568,Apple,Negative,Working on a sunny Sunday 
24400,Silversmyth,Irrelevant,@Silversmyth yay!!!!!  I love it!!!!  I still haven't gotten the logo  so it is what it is - so now what?  LOL!
98828,CruciFire,Negative,@CruciFire Its just one scene man !! there is nothing more than that scene in that movie 
69899,hotmail,Neutral,"Just doing random stuff on msn , myspace and stuff like that  very bored! add me on msn britty.j@hotmail.com"
83579,Google,Positive,getting ready for church. i always love Sundays. it's going to be a great day.  
52496,Microsoft,Positive,Going to get a pedicure! WHAT NOW! HAHA! 
97446,Netflix,Negative,"crying? yea close to that..  im not happy.. i will nver be.. miss u guys, all the good times.. wish i can return to those times.."
10898,manolosavi,Negative,"@manolosavi Hey dude, how's it going? any cool things planed for tonight? just sitting around here waiting for somemore storms "
67589,S_D_I,Positive,"@S_D_I I'm working on a plan to try to replace my xbox 360 and tv but it might take awhile. Also, you're welcome. "
11419,bronte_saurus,Neutral,"@bronte_saurus Being a grownup with no responsibilities is awesome, though. "
80915,MaddenNFL,Positive,Enjoyed Starbucks today..without guilt...I'm not addicted. 
28258,twitter,Negative,Please note underscore in my name. Someone grabbed the other and isn't using it but @twitter won't give it to me.    #squarespace #trackle
44938,Facebook,Irrelevant,i cant find my permit..i think i lost it..how do i replace it???? 
24539,RobPattzNews,Neutral,@RobPattzNews omg girl lucky uuu..say hii to rob for us 
23450,Facebook,Negative,did I say that I am still working on Facebook app. problem? 
73534,FIFA,Irrelevant,"I feel relaxed, for the first time in a long time.  I should do though, chemistry exam on Wednesday "
21495,dannygokey,Irrelevant,@dannygokey wow... that sucks. 
